代码,    名称,.,所属行业
600249,两面针,,化学制品
600250,南纺股份,,贸易
600251,冠农股份,3,农产品加工
600252,中恒集团,3,中药
600255,鑫科材料,,有色冶炼加工
600256,广汇能源,3,基础化学
600257,大湖股份,3,养殖业
600258,首旅酒店,,景点及旅游
600259,广晟有色,3,有色冶炼加工
600260,凯乐科技,3,综合
600261,阳光照明,3,其他电子
600262,北方股份,,非汽车交运
600266,北京城建,3,房地产开发
600267,海正药业,3,化学制药
600268,国电南自,,电气设备
600269,赣粤高速,,公路铁路运输
600270,外运发展,3,物流
600271,航天信息,3,计算机应用
600272,开开实业,,服装家纺
600273,嘉化能源,,电力
600275,武昌鱼,,综合
600276,恒瑞医药,3,化学制药
600277,亿利能源,3,综合
600278,东方创业,,贸易
600279,重庆港九,,港口航运
600280,中央商场,,零售
600281,太化股份,,基础化学
600282,南钢股份,,钢铁
600283,钱江水利,,燃气水务
600284,浦东建设,,建筑装饰
600285,羚锐制药,3,中药
600287,江苏舜天,,贸易
600288,大恒科技,3,其他电子
600289,亿阳信通,3,通信设备
600290,华仪电气,,电气设备
600291,西水股份,,保险及其他
600292,中电远达,3,环保工程
600293,三峡新材,3,建筑材料
600295,鄂尔多斯,,石油矿业开采
600297,美罗药业,,中药
600298,安琪酵母,3,农产品加工
600299,蓝星新材,,化学制品
600300,维维股份,3,饮料制造
600302,标准股份,,专用设备
600303,曙光股份,,汽车整车
600305,恒顺醋业,,食品加工制造
600306,商业城,,零售
600307,酒钢宏兴,3,钢铁
600308,华泰股份,,造纸
600309,万华化学,3,化工新材料
600310,桂东电力,,电力
600311,荣华实业,3,有色冶炼加工
600312,平高电气,3,电气设备
600313,农发种业,,农业服务
600315,上海家化,3,化学制品
600316,洪都航空,3,国防军工
600317,营口港,,港口航运
600318,巢东股份,3,建筑材料
600319,亚星化学,,化学制品
600320,振华重工,3,专用设备
600321,国栋建设,3,建筑材料
600322,天房发展,,房地产开发
600323,瀚蓝环境,3,燃气水务
600325,华发股份,3,房地产开发
600326,西藏天路,,建筑材料
600327,大东方,,零售
600328,兰太实业,,基础化学
600329,中新药业,3,中药
600330,天通股份,3,新材料
600331,宏达股份,3,有色冶炼加工
600332,白云山,3,中药
600333,长春燃气,3,燃气水务
600335,国机汽车,3,交运设备服务
600336,澳柯玛,3,白色家电
600337,美克家居,,家用轻工
600338,西藏珠峰,,有色冶炼加工
600339,天利高新,,化工新材料
600340,华夏幸福,3,房地产开发
600343,航天动力,3,国防军工
600345,长江通信,,通信设备
600346,大橡塑,,专用设备
600348,阳泉煤业,3,煤炭开采
600350,山东高速,3,公路铁路运输
600351,亚宝药业,,中药
600352,浙江龙盛,3,化学制品
600353,旭光股份,,电气设备
600354,敦煌种业,3,种植业与林业
600355,精伦电子,,通信设备
600356,恒丰纸业,,造纸
600358,国旅联合,,景点及旅游
600359,新农开发,,种植业与林业
600360,华微电子,,半导体及元件
600361,华联综超,,零售
600362,江西铜业,3,有色冶炼加工
600363,联创光电,3,光学光电子
600365,通葡股份,,饮料制造
600366,宁波韵升,3,新材料
600367,红星发展,,基础化学
600368,五洲交通,,公路铁路运输
600369,西南证券,3,证券
600370,三房巷,,纺织制造
600371,万向德农,,种植业与林业
600372,中航电子,3,国防军工
600373,中文传媒,3,传媒
600375,华菱星马,3,专用设备
600376,首开股份,3,房地产开发
600377,宁沪高速,3,公路铁路运输
600378,天科股份,,化学制品
600379,宝光股份,,电气设备
600380,健康元,3,化学制药
600381,贤成矿业,,煤炭开采
600382,广东明珠,3,通用设备
600383,金地集团,3,房地产开发
600386,北巴传媒,3,传媒
600387,海越股份,3,基础化学
600388,龙净环保,3,专用设备
600389,江山股份,3,化学制品
600390,金瑞科技,3,新材料
600391,成发科技,3,国防军工
600392,盛和资源,3,有色冶炼加工
600393,东华实业,,房地产开发
600395,盘江股份,3,煤炭开采
600396,金山股份,,电力
600397,安源煤业,,煤炭开采
600398,海澜之家,,服装家纺
600399,抚顺特钢,,钢铁
600400,红豆股份,,服装家纺
600401,海润光伏,,电气设备
600403,大有能源,,煤炭开采
600405,动力源,,电气设备
600406,国电南瑞,3,电气设备
600408,安泰集团,3,煤炭开采
600409,三友化工,3,基础化学
600410,华胜天成,3,计算机应用
600415,小商品城,3,零售
600416,湘电股份,3,电气设备
600418,江淮汽车,3,汽车整车
600419,天润乳业,,食品加工制造
600420,现代制药,,化学制药
600421,仰帆控股,,综合
600422,昆药集团,3,中药
600423,柳化股份,,化学制品
600425,青松建化,3,建筑材料
600426,华鲁恒升,3,化学制品
600428,中远航运,,港口航运
600429,三元股份,,食品加工制造
600432,吉恩镍业,3,有色冶炼加工
600433,冠豪高新,3,造纸
600435,北方导航,3,国防军工
600436,片仔癀,3,中药
600438,通威股份,,农产品加工
600439,瑞贝卡,,家用轻工
600444,国通管业,,化工合成材料
600446,金证股份,3,计算机应用
600448,华纺股份,,纺织制造
600449,宁夏建材,3,建筑材料
600452,涪陵电力,,电力
600455,博通股份,,计算机应用
600456,宝钛股份,3,有色冶炼加工
600458,时代新材,3,化学制品
600459,贵研铂业,3,有色冶炼加工
600460,士兰微,3,光学光电子
600461,洪城水业,,燃气水务
600462,石岘纸业,,造纸
600463,空港股份,,园区开发
600466,蓝光发展,,中药
600467,好当家,3,养殖业
600468,百利电气,,电气设备
600469,风神股份,,化工合成材料
600470,六国化工,3,化学制品
600475,华光股份,,电气设备
600476,湘邮科技,,计算机应用
600477,杭萧钢构,,建筑装饰
600478,科力远,3,新材料
600479,千金药业,,中药
600480,凌云股份,,汽车零部件
600481,双良节能,3,通用设备
600482,风帆股份,3,汽车零部件
600483,福能股份,3,电力
600485,信威集团,,通信设备
600486,扬农化工,3,化学制品
600487,亨通光电,,通信设备
600488,天药股份,,化学制药
600489,中金黄金,3,有色冶炼加工
600490,鹏欣资源,3,有色冶炼加工
600491,龙元建设,3,建筑装饰
600493,凤竹纺织,,纺织制造
600495,晋西车轴,3,非汽车交运
600496,精工钢构,,建筑装饰
600497,驰宏锌锗,3,有色冶炼加工
600498,烽火通信,3,通信设备
600499,科达洁能,3,专用设备
600500,中化国际,3,化学制品
600501,航天晨光,,专用设备
600502,安徽水利,3,建筑装饰
600503,华丽家族,3,房地产开发
600505,西昌电力,,电力
600506,香梨股份,,种植业与林业
600507,方大特钢,,钢铁
600508,上海能源,,煤炭开采
600509,天富能源,3,电力
600510,黑牡丹,,纺织制造
600511,国药股份,,医药商业
600512,腾达建设,,建筑装饰
600513,联环药业,,化学制药
600515,海岛建设,3,零售
600516,方大炭素,3,新材料
600517,置信电气,3,电气设备
600518,康美药业,3,中药
600519,贵州茅台,3,饮料制造
600520,中发科技,,通用设备
600521,华海药业,3,化学制药
600522,中天科技,3,通信设备
600523,贵航股份,3,汽车零部件
600525,长园集团,3,电气设备
600526,菲达环保,3,专用设备
600527,江南高纤,,化工合成材料
600528,中铁二局,3,建筑装饰
600529,山东药玻,,医疗器械服务
600530,交大昂立,,生物制品
600531,豫光金铅,,有色冶炼加工
600532,宏达矿业,,石油矿业开采
600533,栖霞建设,,房地产开发
600535,天士力,3,中药
600536,中国软件,3,计算机应用
600537,亿晶光电,3,电气设备
600538,国发股份,,化学制品
600539,狮头股份,,建筑材料
600540,新赛股份,,种植业与林业
600543,莫高股份,3,饮料制造
600545,新疆城建,3,建筑装饰
600546,山煤国际,3,煤炭开采
600547,山东黄金,3,有色冶炼加工
600548,深高速,,公路铁路运输
600549,厦门钨业,3,有色冶炼加工
600550,保变电气,,电气设备
600551,时代出版,3,传媒
600552,方兴科技,,建筑材料
600555,九龙山,,房地产开发
600556,慧球科技,,综合
600557,康缘药业,3,中药
600558,大西洋,,通用设备
600559,老白干酒,3,饮料制造
600560,金自天正,,专用设备
600561,江西长运,,公交
600562,国睿科技,,建筑材料
600563,法拉电子,3,半导体及元件
600565,迪马股份,,房地产开发
600566,济川药业,3,化学制药
600567,山鹰纸业,,造纸
600568,中珠控股,3,房地产开发
600569,安阳钢铁,,钢铁
600570,恒生电子,3,计算机应用
600571,信雅达,,计算机应用
600572,康恩贝,3,中药
600573,惠泉啤酒,,饮料制造
600575,皖江物流,3,港口航运
600576,万好万家,,房地产开发
600577,精达股份,,通用设备
600578,京能电力,3,电力
600579,天华院,,专用设备
600580,卧龙电气,3,电气设备
600581,八一钢铁,,钢铁
600582,天地科技,3,专用设备
600583,海油工程,3,采掘服务
600584,长电科技,3,半导体及元件
600585,海螺水泥,3,建筑材料
600586,金晶科技,,建筑材料
600587,新华医疗,3,医疗器械服务
600588,用友网络,3,计算机应用
600589,广东榕泰,,化学制品
600590,泰豪科技,,电气设备
600592,龙溪股份,3,通用设备
600593,大连圣亚,,景点及旅游
600594,益佰制药,3,中药
600595,中孚实业,3,有色冶炼加工
600596,新安股份,3,化学制品
600597,光明乳业,3,食品加工制造
600598,北大荒,,种植业与林业
600599,熊猫烟花,,家用轻工
600600,青岛啤酒,3,饮料制造
600601,方正科技,3,计算机设备
600602,仪电电子,,光学光电子
600603,大洲兴业,,有色冶炼加工
600604,市北高新,3,园区开发
600605,汇通能源,,贸易
600606,金丰投资,3,房地产开发
600608,上海科技,,综合
600609,金杯汽车,3,汽车整车
600611,大众交通,3,公交
600612,老凤祥,,家用轻工
600613,神奇制药,,中药
600614,鼎立股份,3,综合
600615,丰华股份,,新材料
600616,金枫酒业,3,饮料制造
600617,国新能源,,燃气水务
600618,氯碱化工,,基础化学
600619,海立股份,,白色家电
600620,天宸股份,3,房地产开发
600621,华鑫股份,,房地产开发
600622,嘉宝集团,,房地产开发
600623,双钱股份,,化工合成材料
600624,复旦复华,3,综合
600626,申达股份,3,纺织制造
600628,新世界,,零售
600629,棱光实业,,建筑材料
600630,龙头股份,,服装家纺
600633,浙报传媒,3,传媒
600634,中技控股,,建筑材料
600635,大众公用,3,保险及其他
600636,三爱富,3,化学制品
600637,百视通,3,通信服务
600638,新黄浦,,房地产开发
600639,浦东金桥,3,园区开发
600640,号百控股,3,景点及旅游
600641,万业企业,,房地产开发
600642,申能股份,3,电力
600643,爱建股份,3,保险及其他
600645,中源协和,3,生物制品
600647,同达创业,,房地产开发
600648,外高桥,3,园区开发
600649,城投控股,3,房地产开发
600650,锦江投资,,公交
600651,飞乐音响,3,其他电子
600652,游久游戏,3,煤炭开采
600653,申华控股,3,交运设备服务
600654,中安消,3,建筑装饰
600655,豫园商城,3,零售
600657,信达地产,,房地产开发
600658,电子城,,园区开发
600660,福耀玻璃,3,汽车零部件
600661,新南洋,3,传媒
600662,强生控股,3,公交
600663,陆家嘴,3,园区开发
600664,哈药股份,3,化学制药
600665,天地源,,房地产开发
600666,西南药业,,化学制药
600667,太极实业,3,半导体及元件
600668,尖峰集团,3,建筑材料
600671,天目药业,,中药
600673,东阳光科,3,有色冶炼加工
600674,川投能源,3,电力
600675,中华企业,3,房地产开发
600676,交运股份,,物流
600677,航天通信,3,国防军工
600678,四川金顶,,建筑材料
600679,金山开发,,非汽车交运
600680,上海普天,3,计算机设备
600681,万鸿集团,,建筑装饰
600682,南京新百,,零售
600683,京投银泰,,房地产开发
600684,珠江实业,3,房地产开发
600685,广船国际,,国防军工
600686,金龙汽车,,汽车整车
600687,刚泰控股,,有色冶炼加工
600688,上海石化,3,基础化学
600689,上海三毛,,纺织制造
600690,青岛海尔,3,白色家电
600692,亚通股份,3,港口航运
600693,东百集团,,零售
600694,大商股份,3,零售
600695,绿庭投资,,食品加工制造
600696,多伦股份,3,房地产开发
600697,欧亚集团,,零售
600698,湖南天雁,,汽车零部件
600699,均胜电子,3,汽车零部件
600701,工大高新,,综合
600702,沱牌舍得,3,饮料制造
600703,三安光电,3,光学光电子
600704,物产中大,3,零售
600705,中航资本,3,保险及其他
600706,曲江文旅,,景点及旅游
600707,彩虹股份,3,光学光电子
600708,海博股份,,综合
600710,常林股份,,专用设备
600711,盛屯矿业,3,有色冶炼加工
600712,南宁百货,,零售
600713,南京医药,,医药商业
600714,金瑞矿业,,煤炭开采
600716,凤凰股份,3,房地产开发
600717,天津港,3,港口航运
600718,东软集团,3,计算机应用
600719,大连热电,,电力
600720,祁连山,3,建筑材料
600721,百花村,,煤炭开采
600722,金牛化工,,基础化学
600723,首商股份,,零售
600724,宁波富达,,房地产开发
600725,云维股份,,化工合成材料
600726,华电能源,,电力
600727,鲁北化工,,化学制品
600728,佳都科技,3,计算机应用
600729,重庆百货,3,零售
600730,中国高科,3,综合
600731,湖南海利,,化学制品
600732,上海新梅,,房地产开发
600733,S前锋,,房地产开发
600734,实达集团,,房地产开发
600735,新华锦,,贸易
600736,苏州高新,,房地产开发
600737,中粮屯河,3,农产品加工
600738,兰州民百,,零售
600739,辽宁成大,3,贸易
600740,山西焦化,3,煤炭开采
600741,华域汽车,3,汽车零部件
600742,一汽富维,3,汽车零部件
600743,华远地产,3,房地产开发
600744,华银电力,3,电力
600745,中茵股份,,房地产开发
600746,江苏索普,,化学制品
600747,大连控股,3,保险及其他
600748,上实发展,3,房地产开发
600749,西藏旅游,,景点及旅游
600750,江中药业,3,中药
600751,天津海运,3,港口航运
600753,东方银星,,房地产开发
600754,锦江股份,,酒店及餐饮
600755,厦门国贸,3,贸易
600756,浪潮软件,3,计算机应用
600757,长江传媒,3,传媒
600758,红阳能源,,电力
600759,洲际油气,3,综合
600760,中航黑豹,,国防军工
600761,安徽合力,3,专用设备
600763,通策医疗,,医疗器械服务
600764,中电广通,,半导体及元件
600765,中航重机,3,通用设备
600766,园城黄金,,有色冶炼加工
600767,运盛实业,,房地产开发
600768,宁波富邦,,有色冶炼加工
600769,祥龙电业,,燃气水务
600770,综艺股份,3,半导体及元件
600771,广誉远,3,化学制药
600773,西藏城投,3,房地产开发
600774,汉商集团,,零售
600775,南京熊猫,3,通信设备
600776,东方通信,3,通信设备
600777,新潮实业,3,房地产开发
600778,友好集团,,零售
600779,水井坊,3,饮料制造
600780,通宝能源,,电力
600781,辅仁药业,,中药
600782,新钢股份,,钢铁
600783,鲁信创投,3,保险及其他
600784,鲁银投资,,钢铁
600785,新华百货,,零售
600787,中储股份,3,物流
600789,鲁抗医药,3,化学制药
600790,轻纺城,3,零售
600791,京能置业,,房地产开发
600792,云煤能源,,煤炭开采
600794,保税科技,,物流
600795,国电电力,3,电力
600796,钱江生化,,生物制品
600797,浙大网新,3,计算机应用
600798,宁波海运,,港口航运
600800,天津磁卡,3,其他电子
600801,华新水泥,3,建筑材料
600802,福建水泥,3,建筑材料
600803,新奥股份,,化学制品
600804,鹏博士,3,通信服务
600805,悦达投资,3,汽车整车
600806,昆明机床,,通用设备
600807,天业股份,3,房地产开发
600808,马钢股份,3,钢铁
600809,山西汾酒,3,饮料制造
600810,神马股份,,化工合成材料
600811,东方集团,3,综合
600812,华北制药,,化学制药
600814,杭州解百,,零售
600815,厦工股份,3,专用设备
600816,安信信托,3,保险及其他
600818,中路股份,,综合
600819,耀皮玻璃,,建筑材料
600820,隧道股份,3,建筑装饰
600821,津劝业,,零售
600822,上海物贸,,贸易
600823,世茂股份,3,房地产开发
600824,益民集团,,零售
600825,新华传媒,3,传媒
600826,兰生股份,3,贸易
600827,百联股份,3,零售
600828,成商集团,,零售
600829,三精制药,,化学制药
600830,香溢融通,3,保险及其他
600831,广电网络,3,通信服务
600832,东方明珠,3,传媒
600833,第一医药,,医药商业
600834,申通地铁,,公交
600835,上海机电,3,专用设备
600836,界龙实业,,包装印刷
600837,海通证券,3,证券
600838,上海九百,3,零售
600839,四川长虹,3,视听器材
600841,上柴股份,,通用设备
600843,上工申贝,,专用设备
600844,丹化科技,3,化学制品
600845,宝信软件,,计算机应用
600846,同济科技,3,综合
600847,万里股份,,电气设备
600848,自仪股份,,仪器仪表
600850,华东电脑,,计算机设备
600851,海欣股份,3,综合
600853,龙建股份,,建筑装饰
600854,春兰股份,,白色家电
600855,航天长峰,3,计算机设备
600856,长百集团,,零售
600857,工大首创,,贸易
600858,银座股份,,零售
600859,王府井,3,零售
600860,京城股份,,通用设备
600861,北京城乡,,零售
600862,南通科技,,通用设备
600863,内蒙华电,3,电力
600864,哈投股份,,电力
600865,百大集团,,零售
600866,星湖科技,,食品加工制造
600867,通化东宝,3,生物制品
600868,梅雁吉祥,3,电力
600869,智慧能源,,电气设备
600870,厦华电子,,视听器材
600871,石化油服,,化工合成材料
600872,中炬高新,3,食品加工制造
600873,梅花生物,3,食品加工制造
600874,创业环保,3,燃气水务
600875,东方电气,3,电气设备
600876,洛阳玻璃,,建筑材料
600877,中国嘉陵,3,非汽车交运
600879,航天电子,3,国防军工
600880,博瑞传播,3,传媒
600881,亚泰集团,3,建筑材料
600882,华联矿业,,石油矿业开采
600883,博闻科技,,综合
600884,杉杉股份,3,综合
600885,宏发股份,,电气设备
600886,国投电力,3,电力
600887,伊利股份,3,食品加工制造
600888,新疆众和,,有色冶炼加工
600889,南京化纤,,化工合成材料
600890,中房股份,,房地产开发
600891,秋林集团,,零售
600892,宝诚股份,,综合
600893,中航动力,3,国防军工
600894,广日股份,3,专用设备
600895,张江高科,3,园区开发
600896,中海海盛,,港口航运
600897,厦门空港,,机场航运
600898,三联商社,,零售
600900,长江电力,3,电力
600917,重庆燃气,,燃气水务
600958,东方证券,,证券
600959,江苏有线,,通信服务
600960,渤海活塞,,通用设备
600961,株冶集团,,有色冶炼加工
600962,国投中鲁,,农产品加工
600963,岳阳林纸,,造纸
600965,福成五丰,,养殖业
600966,博汇纸业,,造纸
600967,北方创业,3,非汽车交运
600969,郴电国际,,电力
600970,中材国际,3,建筑装饰
600971,恒源煤电,3,煤炭开采
600973,宝胜股份,,电气设备
600975,新五丰,,养殖业
600976,健民集团,3,中药
600978,宜华木业,3,家用轻工
600979,广安爱众,,电力
600980,北矿磁材,,新材料
600981,汇鸿股份,,贸易
600982,宁波热电,,电力
600983,惠而浦,,白色家电
600985,雷鸣科化,,化学制品
600986,科达股份,,建筑装饰
600987,航民股份,3,纺织制造
600988,赤峰黄金,,有色冶炼加工
600990,四创电子,,国防军工
600992,贵绳股份,,通用设备
600993,马应龙,3,中药
600995,文山电力,,电力
600997,开滦股份,,煤炭开采
600998,九州通,3,医药商业
600999,招商证券,3,证券
601000,唐山港,3,港口航运
601001,大同煤业,3,煤炭开采
601002,晋亿实业,3,通用设备
601003,柳钢股份,,钢铁
601005,重庆钢铁,3,钢铁
601006,大秦铁路,3,公路铁路运输
601007,金陵饭店,,酒店及餐饮
601008,连云港,,港口航运
601009,南京银行,3,银行
601010,文峰股份,,零售
601011,宝泰隆,,煤炭开采
601012,隆基股份,3,电气设备
601015,陕西黑猫,,煤炭开采
601016,节能风电,,电力
601018,宁波港,3,港口航运
601021,春秋航空,,机场航运
601028,玉龙股份,,通用设备
601038,一拖股份,3,专用设备
601058,赛轮金宇,,化工合成材料
601069,西部黄金,,有色冶炼加工
601088,中国神华,3,煤炭开采
601098,中南传媒,3,传媒
601099,太平洋,3,证券
601100,恒立油缸,,通用设备
601101,昊华能源,3,煤炭开采
601106,中国一重,3,专用设备
601107,四川成渝,,公路铁路运输
601111,中国国航,3,机场航运
601113,华鼎股份,,化工合成材料
601116,三江购物,,零售
601117,中国化学,3,建筑装饰
601118,海南橡胶,3,种植业与林业
601126,四方股份,,电气设备
601137,博威合金,,有色冶炼加工
601139,深圳燃气,3,燃气水务
601158,重庆水务,3,燃气水务
601166,兴业银行,3,银行
601168,西部矿业,3,有色冶炼加工
601169,北京银行,3,银行
601177,杭齿前进,,通用设备
601179,中国西电,3,电气设备
601186,中国铁建,3,建筑装饰
601188,龙江交通,,公路铁路运输
601198,东兴证券,,证券
601199,江南水务,,燃气水务
601208,东材科技,,化工合成材料
601216,内蒙君正,3,基础化学
601218,吉鑫科技,3,电气设备
601222,林洋电子,,电气设备
601225,陕西煤业,3,煤炭开采
601226,华电重工,,建筑装饰
601231,环旭电子,3,电子制造
601233,桐昆股份,,化工合成材料
601238,广汽集团,3,汽车整车
601258,庞大集团,3,交运设备服务
601288,农业银行,3,银行
601299,中国北车,3,非汽车交运
601311,骆驼股份,3,汽车零部件
601313,江南嘉捷,,专用设备
601318,中国平安,3,保险及其他
601328,交通银行,3,银行
601333,广深铁路,3,公路铁路运输
601336,新华保险,3,保险及其他
601339,百隆东方,,纺织制造
601369,陕鼓动力,3,通用设备
601377,兴业证券,3,证券
601388,怡球资源,3,有色冶炼加工
601390,中国中铁,3,建筑装饰
601398,工商银行,3,银行
601515,东风股份,,包装印刷
601518,吉林高速,,公路铁路运输
601519,大智慧,3,计算机应用
601555,东吴证券,3,证券
601566,九牧王,,服装家纺
601567,三星电气,,电气设备
601579,会稽山,,饮料制造
601588,北辰实业,,房地产开发
601599,鹿港科技,,纺织制造
601600,中国铝业,3,有色冶炼加工
601601,中国太保,3,保险及其他
601607,上海医药,3,医药商业
601608,中信重工,3,专用设备
601616,广电电气,,电气设备
601618,中国中冶,3,建筑装饰
601628,中国人寿,3,保险及其他
601633,长城汽车,3,汽车整车
601636,旗滨集团,,建筑材料
601666,平煤股份,3,煤炭开采
601668,中国建筑,3,建筑装饰
601669,中国电建,3,建筑装饰
601677,明泰铝业,,有色冶炼加工
601678,滨化股份,3,化工新材料
601688,华泰证券,3,证券
601689,拓普集团,,汽车零部件
601699,潞安环能,3,煤炭开采
601700,风范股份,,电气设备
601717,郑煤机,3,专用设备
601718,际华集团,3,服装家纺
601727,上海电气,3,电气设备
601766,中国南车,3,非汽车交运
601777,力帆股份,3,汽车整车
601788,光大证券,3,证券
